name,credits,institution
Deepak,129,DU
Arjun,105,NIT Trichy
Priya,151,IIT Bombay
Amit,171,IIT Bombay
Kavita,77,NIT Trichy
Simran,59,IIIT Hyderabad
Pooja,55,IIT Kanpur
Rahul,58,NIT Trichy
Pooja,123,JNU
Suresh,97,NIT Surathkal
Simran,175,IIT Madras
Manish,132,IIT Delhi
Rahul,131,NIT Trichy
Vikram,25,JNU
Mehul,169,JNU
Kiran,23,DU
Rohit,149,DU
Kiran,142,JNU
Vikram,141,IIIT Hyderabad
Rahul,121,IIT Madras
Manish,134,BITS Pilani
Sneha,56,DU
Vikas,133,IIT Delhi
Riya,116,IIT Kanpur
Neha,42,IIT Kanpur
Priya,88,IIIT Hyderabad
Rahul,51,IIT Bombay
Ankit,121,IIT Delhi
Manish,112,IIIT Hyderabad
Kavita,89,JNU
Amit,161,BITS Pilani
Neha,54,BITS Pilani
Simran,90,IIT Bombay
Vikas,76,IIIT Hyderabad
Rahul,155,NIT Trichy
Nisha,151,IIT Delhi
Arjun,156,IIIT Hyderabad
Rahul,150,JNU
Priya,115,JNU
Deepak,97,IIT Bombay
Nisha,168,BITS Pilani
Suresh,76,BITS Pilani
Nisha,99,JNU
Vikas,59,IIT Madras
Rahul,130,DU
Suresh,56,BITS Pilani
Kiran,113,IIT Delhi
Manish,162,JNU
Simran,149,NIT Trichy
Ankit,164,IIT Bombay
Kavita,70,IIIT Hyderabad
Neha,21,IIT Bombay
Pooja,87,IIT Madras
Deepak,132,IIT Delhi
Amit,156,IIT Delhi
Nisha,90,NIT Surathkal
Manish,59,NIT Surathkal
Neha,157,NIT Trichy
Mehul,132,JNU
Rahul,69,NIT Surathkal
Simran,171,NIT Surathkal
Riya,179,NIT Trichy
Nisha,136,IIIT Hyderabad
Vikram,82,IIT Delhi
Manish,78,NIT Surathkal
Pooja,93,IIT Bombay
Ankit,45,IIT Madras
Vikas,49,NIT Trichy
Simran,97,IIT Bombay
Suresh,115,IIT Delhi
Nisha,20,DU
Pooja,130,NIT Trichy
Kiran,35,IIT Bombay
Rahul,150,IIT Delhi
Amit,104,IIT Kanpur
Neha,128,IIT Kanpur
Mehul,115,DU
Riya,59,NIT Surathkal
Rahul,85,NIT Trichy
Simran,44,NIT Surathkal
Priya,71,IIT Bombay
Deepak,156,BITS Pilani
Arjun,30,IIIT Hyderabad
Priya,136,IIT Kanpur
Amit,133,IIT Bombay
Manish,81,BITS Pilani
Rahul,162,DU
Riya,55,NIT Surathkal
Kavita,48,JNU
Vikas,123,IIT Kanpur
Rohit,37,BITS Pilani
Vikas,110,BITS Pilani
Manish,130,BITS Pilani
Simran,89,IIIT Hyderabad
Mehul,29,NIT Trichy
Rahul,30,IIT Madras
Pooja,167,IIIT Hyderabad
Kavita,144,JNU
Simran,52,BITS Pilani
Riya,36,NIT Trichy
Arjun,50,DU
Deepak,86,NIT Trichy
Riya,91,IIT Kanpur
Mehul,71,IIIT Hyderabad
Suresh,60,BITS Pilani
Ankit,139,JNU
Sneha,99,JNU
Priya,56,NIT Surathkal
Amit,161,NIT Trichy
Nisha,171,BITS Pilani
Suresh,38,IIT Delhi
Kiran,122,IIT Madras
Pooja,128,IIT Kanpur
Rohit,121,NIT Trichy
Priya,91,JNU
Deepak,61,IIIT Hyderabad
Amit,85,IIT Madras
Priya,151,NIT Trichy
Kiran,152,IIIT Hyderabad
Kavita,112,IIT Bombay
Pooja,138,NIT Trichy
Rohit,85,IIT Bombay
Manish,137,IIIT Hyderabad
Sneha,172,IIT Bombay
Vikram,110,NIT Trichy
Mehul,83,BITS Pilani
Riya,94,IIT Kanpur
Kavita,105,DU
Simran,165,NIT Surathkal
Amit,139,IIIT Hyderabad
Rohit,67,IIT Bombay
Sneha,51,IIIT Hyderabad
Vikram,29,IIT Delhi
Sneha,163,IIT Delhi
Sneha,23,NIT Trichy
Simran,100,IIIT Hyderabad
Pooja,43,IIT Delhi
Ankit,41,IIIT Hyderabad
Pooja,70,NIT Surathkal
Pooja,20,IIT Bombay
Riya,164,IIT Madras
Simran,135,BITS Pilani
Kiran,38,BITS Pilani
Kiran,113,NIT Surathkal
Manish,76,IIT Madras
Pooja,156,IIT Bombay
Kiran,66,IIT Madras
Neha,135,IIIT Hyderabad
Suresh,80,IIIT Hyderabad
Vikram,91,IIT Madras
Manish,164,IIIT Hyderabad
Mehul,153,IIT Madras
Ankit,137,NIT Trichy
Amit,130,JNU
Mehul,47,IIT Bombay
Vikram,40,IIT Kanpur
Pooja,110,IIT Delhi
Riya,91,BITS Pilani
Riya,176,IIT Bombay
Pooja,155,JNU
Rohit,167,IIT Kanpur
Ankit,120,DU
Manish,24,IIIT Hyderabad
Neha,169,IIT Madras
Vikram,113,BITS Pilani
Manish,110,IIIT Hyderabad
Ankit,96,IIT Bombay
Amit,31,IIT Kanpur
Priya,167,BITS Pilani
Kavita,136,NIT Trichy
Suresh,113,NIT Surathkal
Simran,38,IIIT Hyderabad
Nisha,132,IIT Delhi
Kiran,168,IIIT Hyderabad
Vikas,162,DU
Rahul,83,IIT Kanpur
Ankit,49,BITS Pilani
Neha,111,BITS Pilani
Vikas,104,IIIT Hyderabad
Rohit,65,IIT Kanpur
Simran,106,IIIT Hyderabad
Manish,51,IIT Kanpur
Nisha,135,JNU
Nisha,46,BITS Pilani
Manish,51,IIT Delhi
Pooja,172,JNU
Nisha,124,IIT Delhi
Kiran,151,IIT Delhi
Sneha,92,IIT Bombay
Sneha,30,NIT Trichy
Nisha,89,IIT Madras
Sneha,112,IIIT Hyderabad
Vikas,165,DU
Vikas,52,IIIT Hyderabad
Amit,62,IIT Delhi
Kiran,62,DU
Nisha,165,IIT Madras
Rohit,104,BITS Pilani
Vikas,82,IIT Delhi
Arjun,116,NIT Surathkal
Deepak,119,BITS Pilani
Riya,180,DU
Mehul,107,IIIT Hyderabad
Priya,152,DU
Sneha,51,BITS Pilani
Nisha,180,IIIT Hyderabad
Suresh,177,NIT Trichy
Amit,106,IIIT Hyderabad
Kavita,66,IIT Delhi
Suresh,168,IIT Kanpur
Simran,60,IIT Bombay
Mehul,22,IIT Delhi
Rohit,140,DU
Riya,133,IIIT Hyderabad
Vikas,121,NIT Surathkal
Nisha,35,IIIT Hyderabad
Simran,120,IIT Madras
Neha,69,NIT Surathkal
Priya,50,JNU
Simran,69,IIT Bombay
Kiran,125,IIT Delhi
Ankit,131,IIT Madras
Simran,124,IIT Madras
Priya,141,JNU
Priya,117,IIT Madras
Priya,48,DU
Suresh,66,NIT Surathkal
Arjun,153,NIT Surathkal
Manish,180,NIT Surathkal
Deepak,70,JNU
Vikas,154,IIT Kanpur
Amit,23,NIT Surathkal
Riya,47,NIT Surathkal
Riya,101,JNU
Manish,114,IIIT Hyderabad
Priya,162,IIT Madras
Deepak,44,NIT Surathkal
Pooja,86,IIT Bombay
Sneha,164,NIT Trichy
Rahul,45,NIT Trichy
Manish,111,NIT Surathkal
Suresh,90,IIIT Hyderabad
Kavita,97,IIT Kanpur
Ankit,128,BITS Pilani
Kiran,109,IIT Kanpur
Pooja,97,JNU
Sneha,43,IIT Madras
Vikas,30,IIIT Hyderabad
Arjun,60,NIT Surathkal
Kiran,148,NIT Trichy
Kavita,102,IIIT Hyderabad
Nisha,177,IIIT Hyderabad
Riya,169,BITS Pilani
Neha,161,BITS Pilani
Ankit,71,IIT Delhi
Mehul,22,NIT Surathkal
Vikram,157,IIT Delhi
Ankit,116,IIT Delhi
Manish,45,NIT Surathkal
Pooja,180,IIT Kanpur
Riya,152,BITS Pilani
Priya,180,NIT Surathkal
Amit,123,NIT Trichy
Vikram,117,BITS Pilani
Sneha,84,BITS Pilani
Riya,107,DU
Rahul,122,IIT Kanpur
Sneha,44,BITS Pilani
Simran,178,IIT Madras
Suresh,151,NIT Surathkal
Rahul,25,NIT Trichy
Sneha,27,IIT Madras
Kavita,67,IIT Madras
Sneha,128,BITS Pilani
Rahul,133,DU
Deepak,92,NIT Surathkal
Kavita,26,BITS Pilani
Deepak,47,IIT Madras
Ankit,80,NIT Trichy
Simran,91,IIT Bombay
Priya,175,BITS Pilani
Vikram,123,IIT Kanpur
Suresh,105,JNU
Kavita,104,DU
Sneha,110,IIT Madras
Kavita,161,JNU
Mehul,174,NIT Surathkal
Manish,178,BITS Pilani
Vikram,165,IIT Bombay
Priya,31,JNU
Rahul,67,IIT Delhi
Rohit,63,IIT Bombay
Mehul,175,IIT Bombay
Pooja,170,NIT Trichy
Vikram,34,NIT Trichy
Suresh,55,DU
Sneha,61,IIT Delhi
Ankit,160,NIT Surathkal
Priya,43,IIT Madras
Kiran,55,JNU
Manish,165,IIT Kanpur
Nisha,143,NIT Trichy
Vikas,74,IIT Madras
Kiran,113,IIT Madras
Suresh,39,IIT Madras
Manish,126,DU
Vikram,27,JNU
Priya,24,IIT Kanpur
Sneha,117,JNU
Pooja,134,JNU
Vikas,152,BITS Pilani
Vikas,114,JNU
Priya,23,BITS Pilani
Pooja,36,NIT Trichy
Nisha,175,JNU
Amit,155,NIT Trichy
Rohit,150,IIT Bombay
Rohit,172,DU
Neha,171,NIT Trichy
Rohit,141,IIT Madras
Rohit,48,DU
Priya,93,IIT Delhi
Neha,107,IIT Delhi
Vikas,147,IIT Madras
Manish,91,IIT Delhi
Mehul,34,BITS Pilani
Vikram,130,BITS Pilani
Nisha,96,NIT Surathkal
Vikas,66,DU
Vikram,84,IIT Kanpur
Vikas,47,NIT Trichy
Vikram,41,IIT Madras
Arjun,61,BITS Pilani
Nisha,117,IIT Kanpur
Manish,73,IIT Kanpur
Mehul,113,BITS Pilani
Mehul,120,IIT Delhi
Rohit,134,BITS Pilani
Simran,129,DU
Riya,42,IIT Madras
Neha,77,IIT Madras
Rahul,21,IIT Madras
Deepak,122,DU
Deepak,168,IIT Bombay
Simran,76,IIT Madras
Amit,52,BITS Pilani
Pooja,90,IIT Bombay
Deepak,109,NIT Surathkal
Pooja,101,IIT Madras
Priya,78,JNU
Ankit,89,IIT Madras
Pooja,21,JNU
Amit,89,IIIT Hyderabad
Kiran,142,BITS Pilani
Rahul,23,IIT Kanpur
Pooja,46,JNU
Rahul,37,DU
Pooja,90,IIT Delhi
Simran,171,IIT Kanpur
Neha,23,IIIT Hyderabad
Ankit,78,IIT Madras
Pooja,45,IIT Bombay
Rahul,103,NIT Surathkal
Priya,167,DU
Riya,154,IIIT Hyderabad
Vikas,127,IIT Bombay
Neha,32,IIT Madras
Kiran,41,DU
Priya,145,IIT Bombay
Kiran,109,BITS Pilani
Kavita,74,NIT Surathkal
Amit,153,IIT Bombay
Neha,23,NIT Surathkal
Sneha,111,NIT Surathkal
Mehul,38,DU
Manish,116,IIT Bombay
Nisha,175,IIT Delhi
Rahul,32,NIT Trichy
Manish,23,DU
Manish,71,IIT Madras
Amit,102,JNU
Vikas,101,NIT Trichy
Mehul,57,NIT Trichy
Simran,27,IIT Bombay
Kavita,42,IIT Kanpur
Priya,144,BITS Pilani
Kiran,166,IIT Bombay
Simran,135,IIT Delhi
Neha,116,JNU
Ankit,74,NIT Surathkal
Sneha,21,IIT Kanpur
Deepak,124,IIT Bombay
Mehul,22,IIIT Hyderabad
Kavita,44,NIT Surathkal
Rohit,23,BITS Pilani
Manish,109,IIT Madras
Mehul,120,IIT Bombay
Pooja,72,NIT Surathkal
Vikram,63,DU
Ankit,63,DU
Simran,130,IIT Delhi
Riya,139,NIT Surathkal
Kavita,25,IIT Delhi
Arjun,78,IIT Kanpur
Rohit,31,JNU
Deepak,83,NIT Trichy
Nisha,65,IIT Kanpur
Nisha,134,NIT Trichy
Suresh,112,NIT Surathkal
Simran,70,BITS Pilani
Kiran,34,IIT Madras
Vikas,53,BITS Pilani
Deepak,149,IIT Delhi
Simran,59,DU
Deepak,153,IIT Delhi
Arjun,39,NIT Trichy
Ankit,127,IIIT Hyderabad
Mehul,42,IIT Madras
Rohit,80,JNU
Ankit,40,IIT Madras
Nisha,169,IIT Bombay
Simran,26,NIT Trichy
Arjun,47,NIT Trichy
Pooja,31,NIT Surathkal
Amit,50,IIT Delhi
Vikram,26,IIIT Hyderabad
Arjun,66,NIT Surathkal
Amit,31,IIT Bombay
Deepak,78,IIT Bombay
Kiran,62,NIT Surathkal
Neha,70,IIT Madras
Rahul,86,NIT Surathkal
Arjun,84,BITS Pilani
Sneha,61,IIT Bombay
Arjun,145,NIT Trichy
Kavita,130,IIT Bombay
Priya,72,IIT Kanpur
Rahul,54,IIT Delhi
Vikas,126,IIT Bombay
Amit,132,IIIT Hyderabad
Sneha,174,IIT Delhi
Amit,74,NIT Surathkal
Suresh,74,JNU
Vikas,25,IIT Madras
Arjun,128,IIIT Hyderabad
Vikas,74,IIT Bombay
Amit,135,NIT Trichy
Amit,165,IIT Kanpur
Pooja,55,IIT Bombay
Vikram,135,DU
Nisha,88,NIT Surathkal
Priya,33,NIT Trichy
Rahul,100,IIIT Hyderabad
Rohit,81,NIT Surathkal
Mehul,157,BITS Pilani
Nisha,118,DU
Neha,123,DU
Priya,37,IIT Madras
Suresh,91,NIT Surathkal
Kiran,157,NIT Surathkal
Deepak,87,NIT Surathkal
Pooja,121,JNU
Arjun,109,IIT Delhi
Simran,91,IIT Kanpur
Deepak,122,IIT Bombay
Amit,48,IIT Madras
Amit,91,IIT Madras
Sneha,178,IIIT Hyderabad
Amit,85,IIT Kanpur
Rahul,163,IIT Kanpur
Kavita,77,JNU
Riya,113,IIIT Hyderabad
Neha,60,NIT Surathkal
Amit,35,IIT Bombay
Suresh,26,IIT Kanpur
Vikram,115,IIT Kanpur
Simran,146,JNU
Riya,171,JNU
Simran,176,IIT Delhi
Simran,34,DU
Rohit,43,IIT Bombay
Riya,109,IIIT Hyderabad
Priya,148,BITS Pilani
Neha,27,NIT Surathkal
Vikas,20,IIT Bombay
Sneha,105,JNU
Deepak,152,IIT Kanpur
Nisha,133,IIIT Hyderabad
Manish,91,JNU
Nisha,28,IIT Madras
Manish,175,IIT Bombay
Sneha,103,IIT Bombay
Riya,120,NIT Trichy
Priya,42,IIT Madras
Deepak,107,NIT Trichy
Nisha,132,IIT Delhi
Ankit,146,IIT Kanpur
Rohit,123,IIT Bombay
Priya,45,IIT Delhi
Nisha,74,NIT Trichy
Arjun,164,IIIT Hyderabad
Simran,62,NIT Surathkal
Sneha,139,IIT Madras
Amit,159,DU
Simran,170,DU
Sneha,118,IIT Delhi
Kiran,161,NIT Trichy
Mehul,44,IIT Madras
Rahul,178,IIT Delhi
Rohit,32,IIT Madras
Nisha,120,IIT Madras
Arjun,146,NIT Trichy
Pooja,72,DU
Simran,44,JNU
Riya,143,IIT Madras
Ankit,81,NIT Surathkal
Deepak,148,NIT Trichy
Pooja,77,IIT Madras
Suresh,151,IIT Bombay
Vikas,173,NIT Surathkal
Riya,160,JNU
Neha,147,IIT Kanpur
Nisha,94,NIT Surathkal
Neha,117,BITS Pilani
Rahul,118,IIT Madras
Amit,139,DU
Suresh,153,DU
Simran,51,IIT Kanpur
Vikram,106,IIT Delhi
Kiran,41,NIT Surathkal
Manish,156,JNU
Priya,91,IIT Delhi
Vikram,28,NIT Surathkal
Suresh,161,BITS Pilani
Pooja,101,IIT Kanpur
Arjun,153,IIT Madras
Amit,57,NIT Trichy
Suresh,161,BITS Pilani
Rahul,115,IIT Madras
Nisha,62,BITS Pilani
Vikram,53,NIT Surathkal
Kiran,107,NIT Surathkal
Mehul,91,IIT Madras
Amit,67,IIT Delhi
Nisha,166,JNU
Arjun,56,NIT Surathkal
Suresh,101,NIT Surathkal
Rohit,46,IIIT Hyderabad
Kiran,50,NIT Surathkal
Sneha,178,NIT Trichy
Rahul,91,JNU
Mehul,86,NIT Trichy
Nisha,89,NIT Trichy
Nisha,44,NIT Surathkal
Kavita,42,IIT Madras
Vikas,158,NIT Surathkal
Riya,134,NIT Trichy
Nisha,24,IIT Bombay
Vikram,47,NIT Surathkal
Arjun,80,IIT Bombay
Suresh,148,IIT Delhi
Rohit,147,DU
Kiran,45,DU
Vikas,97,IIT Madras
Manish,129,NIT Trichy
Vikram,82,JNU
Nisha,133,NIT Trichy
Suresh,79,IIT Bombay
Manish,111,NIT Surathkal
Deepak,85,JNU
Pooja,160,JNU
Riya,149,IIT Madras
Rahul,47,BITS Pilani
Kavita,42,IIT Madras
Amit,115,IIT Madras
Rohit,72,BITS Pilani
Vikas,112,NIT Trichy
Rohit,135,IIT Madras
Manish,85,NIT Surathkal
Vikram,71,DU
Mehul,144,IIT Madras
Mehul,136,BITS Pilani
Manish,93,IIT Madras
Deepak,166,NIT Trichy
Suresh,173,NIT Surathkal
Deepak,165,IIT Delhi
Rahul,171,BITS Pilani
Deepak,120,IIT Madras
Mehul,143,IIT Madras
Kavita,99,IIT Kanpur
Vikram,110,IIT Bombay
Ankit,27,IIT Madras
Manish,141,BITS Pilani
Kiran,138,IIT Bombay
Mehul,70,IIT Bombay
Ankit,100,IIT Bombay
Kiran,163,IIT Delhi
Amit,44,IIIT Hyderabad
Kiran,151,IIT Madras
Kiran,74,NIT Surathkal
Rohit,144,DU
Kiran,167,IIT Delhi
Deepak,102,BITS Pilani
Arjun,164,DU
Arjun,162,BITS Pilani
Kiran,70,IIT Kanpur
Kavita,74,NIT Surathkal
Manish,126,NIT Trichy
Manish,60,NIT Trichy
Vikas,164,IIT Bombay
Deepak,86,IIT Bombay
Amit,147,IIT Bombay
Riya,93,IIIT Hyderabad
Kavita,130,IIT Madras
Kiran,57,DU
Suresh,80,NIT Surathkal
Kavita,138,JNU
Vikas,99,DU
Rahul,173,DU
Neha,91,NIT Trichy
Rahul,56,NIT Surathkal
Sneha,140,IIT Delhi
Amit,118,NIT Surathkal
Pooja,78,BITS Pilani
Ankit,23,JNU
Nisha,166,NIT Surathkal
Rohit,176,IIT Madras
Suresh,118,IIT Madras
Arjun,140,IIT Bombay
Rahul,43,JNU
Kiran,178,IIT Delhi
Kavita,164,IIIT Hyderabad
Simran,87,DU
Priya,66,IIIT Hyderabad
Kavita,20,IIIT Hyderabad
Kavita,128,IIIT Hyderabad
Manish,40,IIT Delhi
Pooja,160,IIT Madras
Rohit,90,IIT Madras
Rahul,145,IIT Delhi
Priya,49,IIT Madras
Mehul,46,DU
Arjun,75,DU
Rahul,65,IIT Madras
Ankit,39,JNU
Vikas,20,NIT Trichy
Mehul,48,NIT Surathkal
Manish,99,NIT Trichy
Arjun,147,IIIT Hyderabad
Mehul,47,BITS Pilani
Kiran,170,IIT Delhi
Pooja,65,NIT Trichy
Manish,151,BITS Pilani
Kavita,164,IIT Delhi
Priya,138,JNU
Riya,118,BITS Pilani
Kiran,28,IIT Bombay
Simran,90,IIIT Hyderabad
Mehul,113,IIT Bombay
Rahul,91,IIT Delhi
Simran,103,IIT Delhi
Sneha,70,IIT Madras
Arjun,73,IIT Kanpur
Vikram,76,JNU
Amit,123,NIT Surathkal
Mehul,96,IIIT Hyderabad
Kavita,148,IIT Delhi
Simran,64,NIT Trichy
Nisha,52,IIT Madras
Vikas,118,JNU
Arjun,158,NIT Trichy
Riya,103,IIT Kanpur
Neha,82,BITS Pilani
Kiran,90,JNU
Neha,93,IIT Madras
Simran,117,NIT Surathkal
Pooja,27,IIT Bombay
Sneha,69,DU
Ankit,81,IIT Delhi
Amit,141,BITS Pilani
Manish,152,IIT Kanpur
Mehul,35,IIT Delhi
Mehul,46,NIT Trichy
Arjun,112,JNU
Vikas,39,IIT Delhi
Arjun,106,IIIT Hyderabad
Nisha,140,JNU
Deepak,136,IIT Madras
Vikram,136,NIT Trichy
Sneha,62,IIT Kanpur
Simran,105,JNU
Vikram,113,IIT Kanpur
Neha,49,NIT Surathkal
Rahul,22,BITS Pilani
Kiran,176,NIT Trichy
Manish,105,IIT Delhi
Kavita,77,DU
Manish,175,IIT Kanpur
Vikram,94,JNU
Pooja,110,IIT Madras
Suresh,84,DU
Pooja,28,DU
Neha,44,NIT Trichy
Riya,36,NIT Trichy
Nisha,57,JNU
Manish,82,IIT Delhi
Neha,53,IIT Delhi
Kavita,170,DU
Priya,106,IIT Delhi
Rohit,120,NIT Surathkal
Arjun,158,IIT Kanpur
Rahul,110,JNU
Manish,107,IIT Kanpur
Kiran,157,JNU
Ankit,171,IIT Bombay
Neha,69,JNU
Simran,92,IIIT Hyderabad
Pooja,103,NIT Trichy
Ankit,40,IIT Kanpur
Sneha,172,IIT Bombay
Vikas,143,IIIT Hyderabad
Kiran,46,IIIT Hyderabad
Suresh,74,IIT Bombay
Kiran,28,IIT Kanpur
Neha,34,IIIT Hyderabad
Amit,128,IIT Bombay
Kiran,43,IIT Madras
Sneha,126,JNU
Sneha,168,IIT Delhi
Rohit,129,DU
Riya,65,IIT Kanpur
Ankit,22,DU
Pooja,147,JNU
Amit,69,IIT Kanpur
Rohit,29,IIT Kanpur
Manish,141,IIIT Hyderabad
Amit,57,IIT Kanpur
Kiran,177,NIT Trichy
Deepak,30,NIT Trichy
Mehul,55,NIT Surathkal
Kavita,113,NIT Trichy
Priya,23,NIT Trichy
Mehul,82,NIT Surathkal
Simran,64,IIT Bombay
Vikas,71,IIT Bombay
Sneha,110,DU
Mehul,26,BITS Pilani
Vikas,47,IIIT Hyderabad
Nisha,52,IIT Bombay
Priya,94,BITS Pilani
Deepak,108,IIIT Hyderabad
Suresh,42,DU
Sneha,27,IIIT Hyderabad
Suresh,133,NIT Trichy
Rohit,24,IIT Madras
Mehul,101,DU
Arjun,71,IIT Kanpur
Neha,27,IIIT Hyderabad
Kiran,23,JNU
Neha,59,NIT Surathkal
Ankit,143,IIT Bombay
Neha,178,JNU
Deepak,99,BITS Pilani
Kiran,83,IIT Delhi
Kavita,168,IIT Bombay
Nisha,33,JNU
Pooja,82,NIT Surathkal
Deepak,30,IIT Madras
Manish,125,IIT Delhi
Nisha,21,IIT Delhi
Suresh,93,IIIT Hyderabad
Kavita,28,BITS Pilani
Kiran,134,IIT Bombay
Kavita,152,DU
Vikas,135,NIT Surathkal
Manish,120,JNU
Neha,21,IIT Delhi
Nisha,77,IIT Bombay
Manish,21,IIT Bombay
Kiran,100,NIT Trichy
Vikram,132,NIT Trichy
Arjun,29,DU
Mehul,51,IIT Delhi
Mehul,64,NIT Surathkal
Priya,141,JNU
Sneha,120,NIT Trichy
Kavita,130,IIIT Hyderabad
Manish,72,NIT Surathkal
Kiran,155,DU
Amit,100,BITS Pilani
Arjun,89,DU
Neha,149,IIT Kanpur
Ankit,24,JNU
Kiran,99,IIIT Hyderabad
Deepak,22,JNU
Deepak,158,BITS Pilani
Mehul,143,NIT Surathkal
Rohit,52,IIT Delhi
Mehul,74,IIIT Hyderabad
Manish,145,NIT Surathkal
Deepak,43,IIIT Hyderabad
Simran,161,IIT Delhi
Vikram,133,NIT Surathkal
Deepak,133,IIT Kanpur
Neha,33,NIT Surathkal
Sneha,101,IIT Madras
Manish,175,IIIT Hyderabad
Kavita,107,JNU
Suresh,102,NIT Surathkal
Riya,114,JNU
Rohit,136,IIT Bombay
Sneha,114,IIIT Hyderabad
Vikram,161,IIT Bombay
Rahul,150,IIT Madras
Priya,173,NIT Trichy
Ankit,100,JNU
Rahul,97,JNU
Rahul,39,JNU
Amit,78,IIT Bombay
Suresh,121,IIT Kanpur
Kiran,64,IIT Delhi
Ankit,28,IIT Madras
Nisha,104,NIT Trichy
Amit,109,IIT Madras
Rahul,165,JNU
Mehul,157,IIIT Hyderabad
Riya,178,NIT Trichy
Suresh,159,NIT Trichy
Simran,121,DU
Amit,45,IIT Delhi
Deepak,52,DU
Neha,59,IIT Kanpur
Manish,91,IIT Kanpur
Manish,60,IIT Delhi
Kiran,130,IIT Kanpur
Pooja,51,IIT Delhi
Sneha,62,NIT Trichy
Simran,97,IIIT Hyderabad
Arjun,80,NIT Trichy
Pooja,96,IIT Kanpur
Simran,174,IIT Madras
Kavita,145,JNU
Kavita,154,NIT Surathkal
Manish,83,IIT Delhi
Simran,150,DU
Kiran,109,NIT Surathkal
Riya,66,NIT Surathkal
Riya,127,IIIT Hyderabad
Deepak,74,JNU
Sneha,28,NIT Trichy
Manish,104,JNU
Vikas,48,IIT Bombay
Deepak,20,IIIT Hyderabad
Kavita,179,BITS Pilani
Mehul,93,IIIT Hyderabad
Deepak,145,IIT Madras
Kavita,153,JNU
Riya,142,NIT Trichy
Manish,90,IIT Delhi
Deepak,46,IIT Kanpur
Kavita,77,IIT Bombay
Neha,26,IIT Bombay
Priya,175,IIT Delhi
Amit,22,NIT Surathkal
Mehul,89,IIIT Hyderabad
Suresh,84,JNU
Arjun,26,IIT Madras
Sneha,163,NIT Trichy
Priya,148,IIT Bombay
Sneha,78,IIT Bombay
Pooja,87,NIT Trichy
Nisha,30,NIT Trichy
Manish,74,IIT Delhi
Mehul,77,NIT Trichy
Rahul,38,NIT Trichy
Manish,152,IIT Bombay
Simran,22,IIT Bombay
Pooja,54,JNU
Nisha,86,NIT Trichy
Vikas,50,BITS Pilani
Pooja,65,DU
Amit,111,IIT Kanpur
Mehul,44,BITS Pilani
Riya,93,IIIT Hyderabad
Ankit,49,NIT Trichy
Vikram,34,IIT Kanpur
Kiran,32,IIIT Hyderabad
Priya,32,IIT Bombay
Amit,103,IIIT Hyderabad
Mehul,148,IIT Delhi
Rohit,24,IIT Delhi
Amit,50,IIT Bombay
Rahul,148,NIT Surathkal
Amit,63,NIT Surathkal
Neha,70,NIT Trichy
Simran,116,JNU
Riya,29,IIIT Hyderabad
Kiran,52,IIIT Hyderabad
Manish,26,IIT Delhi
Vikram,45,BITS Pilani
Neha,25,DU
Ankit,39,IIT Kanpur
Rahul,74,NIT Trichy
Pooja,179,IIT Madras
Kiran,176,IIT Kanpur
Kiran,157,IIT Bombay
Priya,39,IIT Madras
Riya,123,JNU
Mehul,96,IIT Madras
Pooja,159,DU
Ankit,74,IIT Kanpur
Nisha,100,IIT Delhi
Manish,161,NIT Surathkal
Rahul,140,IIT Madras
Priya,91,NIT Trichy
Neha,47,IIT Madras
Suresh,58,JNU
Vikram,34,IIIT Hyderabad
Mehul,149,IIT Madras
Vikas,144,BITS Pilani
Vikas,177,IIIT Hyderabad
Mehul,76,IIT Madras
Priya,83,BITS Pilani
Kiran,67,JNU
Neha,64,IIT Madras
Manish,176,IIIT Hyderabad
Neha,161,IIIT Hyderabad
Manish,131,NIT Surathkal
Neha,85,NIT Surathkal
Vikram,49,NIT Trichy
Priya,85,IIT Bombay
Vikram,113,NIT Trichy
Simran,146,NIT Trichy
Amit,128,DU
Simran,138,DU
Pooja,170,IIT Kanpur
Suresh,113,IIT Bombay
Vikram,152,NIT Surathkal
Amit,44,IIT Delhi
Vikas,41,BITS Pilani
Nisha,167,NIT Trichy
Suresh,170,NIT Trichy
Amit,98,NIT Surathkal
Sneha,151,IIT Delhi
Vikram,119,IIT Delhi
Manish,75,NIT Surathkal
Nisha,41,NIT Trichy
Rahul,50,BITS Pilani
Deepak,44,IIT Madras
Arjun,96,IIIT Hyderabad
Rohit,21,NIT Surathkal
Vikas,172,JNU
Riya,34,IIT Bombay
Neha,95,IIT Delhi
Arjun,94,NIT Surathkal
Kavita,167,IIIT Hyderabad
Manish,91,IIT Madras
Sneha,170,IIIT Hyderabad
Arjun,114,IIT Madras
Rahul,146,IIT Bombay
Simran,33,IIIT Hyderabad
Arjun,118,IIT Bombay
Nisha,89,NIT Trichy
Rahul,135,IIT Delhi
Vikas,90,NIT Trichy
Suresh,177,JNU
Simran,58,JNU
Rohit,71,IIT Madras
Rahul,119,JNU
Sneha,63,IIT Bombay
Simran,151,NIT Trichy
Sneha,115,DU
Rahul,163,NIT Trichy
Riya,40,IIIT Hyderabad
Deepak,76,NIT Trichy
Deepak,62,DU
Pooja,60,IIT Delhi
Deepak,157,IIT Kanpur
Nisha,123,BITS Pilani
Deepak,116,DU
Priya,52,JNU
Riya,96,IIIT Hyderabad
